GroupID,Count,Records
117,1,"michael laverty (hytten place, suffolk park, 2208)"
118,3,"jake grosser (lexcen a venue, bomaderry, 2161) | jake grosser (lexcen avenue, bomaderry, 2161) | jake grosser (lexcen avenue, bomaderry, 2161)"
119,1,"madison maynard (holmes crescent, embleton, 2154)"
120,1,"byron wisowaty (pera place, caulfield, 6101)"
121,1,"layla thrussell (markell p lace, frenchs forest, 6728)"
122,2,"jack mcneeley (keverstone circuit, brighton-le-sands, 4702) | jack mcneeley (keverstone circuit, brighton-le-sands, 4720)"
123,6,"grace timmermans (cussen street, preston, 2251) | grace timmermans (cussenstreet, preston, 2251) | grace timmermans (cussen street, prestln, 2251) | grace timmermans (cussen street, prestion, 2251) | grace timmemrans (cussen street, prestn, 2251) | grace timmermans (cussen stfjeet, preston, 2251)"
124,4,"carly benger (gellibrand street, carnegie, 4011) | carly benger (gellibrand street, carnegie, 4011) | john benger (gellibrand street, carnegie, 4011) | carly benger (gellibrand street, carnegie, 4011)"
125,5,"brydee westermann (burkitt street, banks, 3352) | brydee westermann (burkitt street, banks, 3350) | brydee westermann (burkit street, banks, 3350) | brydee westernann (burkitt street, banks, 3350) | brydee westermann (burkitt street, banks, 3350)"
126,1,"isaac clarke (armytage circuit, annangrove, 3636)"
127,1,"madison dixson (nan, ringwoid, 5047)"
128,1,"fraser tadege (mcinneswstreet, scarborojgh, 2870)"
129,1,"lara chandler (dempster place, kingaroy, 2219)"
130,5,"hollv shepherd (stillwell place, albion park rail, 6201) | holly shepherd (stillwell place, albion park rail, 6210) | holly shepherd (stillwell place, albion park rail, 6210) | holly shepherd (stillwell place, albion park rail, 6201) | holly shepherd (stillwel l place, albion park rail, 6210)"
131,5,"alexa-rose white (warrego circuit, bayswater, 3040) | renee white (warrego circuit, bayswater, 3040) | alexa-ose white (warrego circuit, bayswter, 3041) | alexa-rxose whit (warrego circuit, bayswater, 3004) | alexa-rose white (warrego circuit, bayswater, 3040)"
132,1,"oliver cureton (drevermann street, toronto, 3149)"
133,2,"benjamin muog (peat place, frankston, 4518) | benjamin mugo (peat place, frankston, 4518)"
134,4,"isabella runlde (fawkner street, pottsville, 6154) | isabella rundle (fawkner street, pottsville, 6154) | isabella runudle (fawkner street, pottsville, 6154) | isabella rundle (fawkner street, pottsville, 6154)"
135,4,"haryr clarke (hyndes crescent, homebush, 4805) | harry clarke (hyndes crescent, homebush, 4805) | harry clarke (hyndes crescent, homebush, 4805) | harry clarke (hyndes crescent, homebush, 4805)"
136,2,"hayden ngai (hinkler street, nightcliff, 2263) | hayden ngai (hinkler street, nightcliff, 2236)"
137,1,"samuel wasley (earle street, northbridge, 2530)"
138,1,"amber black well (thomso n street, salisbury, 3188)"
139,1,"micaela blackwell (lewin street, dulwich hill, 4103)"
140,1,"callie bullock (warramoo crescent, noble park, 2650)"
141,4,"sian beelitz (ashkanasy crescent, sylvania, 5042) | sian beelitz (ashkanasy crescent, sylvania, 5042) | beelitz siawn (ashkanasy crescent, sylvania, 5042) | sian nan (ashkanasy crescent, sylvania, 5042)"
142,1,"daniel clarke (goldsborough close, wilson, 2206)"
143,1,"riley faull (turner place, long jetty, 2033)"
144,3,"riley wegemer (phillip avenue, cremorne, 3937) | riley wegemer (phillip a venue, cremorne, 3937) | riley wegemer (phillip avenue, cremorne, 3937)"
145,1,"alexandra knapman (mceacherncxrescent, chelsea heights, 3429)"
146,2,"niocla collier (schaff eyr place, sheidow park, 2098) | nicola collier (schaffer place, sheidow park, 2089)"
147,3,"emiily vodden (clement place, st johns park, 2170) | emiily vodden (clement place, st johsn park, 2170) | emiily vodden (clement place, st johns park, 2170)"
148,1,"cassandra rafanelli (nan, st slbans, 3020)"
149,5,"dominxic flockhart (oxley street, northgate, 3000) | dominic flockhdart (oxley street, northgate, 3001) | dominic flockhart (oxley street, norhtgate, 3000) | dominic flockhart (oxley street, northgate, 3000) | dominic flockhart (oxley steret, nortngate, 3000)"
150,1,"samantha sabieray (quandong street, gorokan, 4019)"
151,1,"harrison paulka (bourne street, ballina, 3976)"
152,4,"toby maczkowiack (kanooka street, canley vale, 3219) | toby maczkowiack (kanooka street, canley vale, 3219) | toby maczkowiack (kanooka street, canley vale, 3219) | toby maczkowiack (kanooka street, canley vale, 3217)"
153,3,"ruby jeffries (forbes street, st albans, 4165) | ruby jeffries (forbes sotreet, st albans, 4155) | ruby jeffries (forbes street, st albans, 4165)"
154,2,"charlotte mccraken (nan, bligh park, 4814) | charlotte mccracken (nan, bligh park, 4814)"
155,4,"sma webb (deamer cerescent, west lakes shore, 2570) | webb sam (deamer crescent, west lakes shore, 2570) | sam webb (deamer cerscent, west lakes shore, 2570) | sam webb (deamer crescent, west lakes shore, 2570)"
156,4,"jonah nguyen (dalley crescent, kingary, 2607) | jonai nguyen (dalley crescent, kingaroy, 2607) | jonah nguyen (dalley crescent, kingaroy, 2607) | jonah nguyen (dalley crescent, kingaroy, 2607)"
157,1,"eliza white (summerland circuit, thornlie, 2345)"
158,3,"barnaby egan (britten-jones drive, kaleen, 4304) | barnagy egan (britten-jones drive, kaleen, 4304) | barnaby egan (britten-joyes drive, kaleen, 4303)"
159,2,"kate rawlings (corin place, kuraby, 4216) | connor rawlings (corin place, kuraby, 4216)"
160,2,"mackinley rees (oman place, parmelia, 3084) | mackinley rues (oman place, parmelia, 3084)"
161,1,"hayden covino (glengariffe, north ryde, 2705)"
162,1,"jessica ryan (mccrae street, junortoun, 6065)"
163,3,"bradley clarke (sharwood csrescent, ringwood, 3959) | bradley clsrke (sharwood crescent, ringwood, 3959) | bradley clarke (sharwood crescent, ringwood, 3959)"
164,2,"locylan grosser (yapunyah street, gingin, 5276) | lochlan grosser (yapunyah street, gingin, 5276)"
165,1,"danielle morrison (london circuit, bibra lake, 4701)"
166,2,"alessandria rabbitt (ellenborough street, mirrabooka, 2186) | alessandria rabbitt (ellenborough street, mirrabooka, 2196)"
167,1,"phoebe pettman-south (kernot street, ballina, 3175)"
168,3,"laura braunak (durville crescent, graceyville, 2536) | laura braunack (durville crescent, graceville, 2536) | braunack laura (durville crescent, graceville, 2536)"
169,3,"joshu a hohn (somme rlad place, eight mile plains, 3178) | joshua hohn (sommerlad place, eight mile plains, 3178) | joshua hohn (sommerlad place, eight mile plains, 3178)"
170,4,"millane mccarthy (alfred hill drive, mortlake, 2032) | millane mccathy (alfred hill drive, mortlake, 2032) | shaun mccarthy (alfred hilbl drive, mortlake, 2032) | millane mccarthy (alfredhil drive, mortlake, 2032)"
171,1,"emma thackeray (kinkead street, newcomb, 4161)"
172,1,"nan nan (amaroo wallaroo road, chester hill, 4811)"
173,2,"malakai schoppe (boddington crescent, trafalgar, 2747) | malakai schoppe (boddington crescent, trafaglar, 2747)"
174,1,"anastasia kromwyk (dyson street, talwood, 4115)"
175,4,"jared wytkin (belfield crescent, bundaberg, 5081) | jared wytkon (belfield crescent, bundaberg, 5081) | jared wytkin (belfieldcrescent, bundaberg, 5081) | jared wytkin (belfield d rescent, bundaberg, 5081)"
176,2,"brinaa morrison (coolac vplace, seaton, 2566) | brianna morrison (coolac place, seaton, 2566)"
177,5,"lily petersen (bissenberger crescent, melville, 2250) | lily petersen (bissenberger crescent, melville, 2250) | lily petersen (bissenberge r crescent, melville, 2250) | mitchell petersen (bissenberger crescent, melville, 2250) | lily petersen (bissenberger crescent, melville, 2250)"
178,2,"sophie lovelock (calder crescent, pitt town, 3810) | sophie lovelock (calder cre scent, pitt town, 3810)"
179,1,"joshua eyles (harcourt street, underdale, 2112)"
180,1,"abbey herno (drosera place, yarra junction, 800)"
181,3,"alexandra heron (tullaroop street, elsternwick, 6208) | alexandra heron (tullaroop street, elster nwick, 6028) | alexandra heron (nan, elsternwick, 6208)"
182,2,"jaiden rollins (tulgeywood, balwyn north, 2224) | jaiden rolli ns (tulgeywomod, balwyn north, 2224)"
183,4,"timothy neville (fihelly street, st lucia, 3108) | timothy neville (fihelly street, st lucia, 3108) | timothy neville (fihelly street, st lucia, 3108) | timohy nevilel (fihelly street, st lcuia, 3108)"
184,1,"jarod mccarthy (henty street, nan, 2166)"
185,4,"erin humphreys (endeavour street, umina beach, 4873) | erni humphreys (endeavour street, umina beach, 4873) | erin humphreys (endeavour street, umina beach, 4873) | erin humpjeys (endeavour street, umina beach, 4873)"
186,2,"ruby reid (fitzmaurice street, eaglwhawk, 2260) | ruby reid (fitzmaurice street, eaglehawk, 2260)"
187,1,"charlie primvaera (chauvel street, dover yeights, 2533)"
188,2,"christian ferris (coombe street, plumpton, 5008) | christian walch (coombe street, plumpton, 5008)"
189,5,"eliza mason (kennedy sreet, bundamba, 4067) | elixa mason (kennedy street, bundabma, 4076) | eliza mason (kennedy street, bundamba, 4067) | eliza mason (kennedy street, bundamba, 4067) | elgza mason (kennedy nstreet, bundaba, 4067)"
190,1,"kylie dixon (sanford xplace, phillip, 5047)"
191,2,"lauren paine (mcvey pace, helid on, 2776) | lauren paine (mcvey place, helidon, 2463)"
192,4,"alexandra grosvenor (anembo street, frankston, 4818) | alexadra grosvenor (anembo street, frankton, 4818) | alexandra grosvenor (anembo street, frankston, 4818) | alexandra grosvenor (anembo street, frankston, 4818)"
193,5,"harrison schumann (monaro crescent, oakleigh, 2280) | harrison schumann (monaro crescent, oakleigh, 2281) | harrison schumann (monaro crescent, oakleigh, 2820) | harrison schuamnn (monaro crescent, oakleigh, 2280) | harrison schumann (monaro crescent, oakleugh, 2280)"
194,3,"beams emiily (tarrabo ol street, andergrove, 2075) | emiily beams (tarrabool street, anderrove, 2075) | emiily beams (tarrabool street, andergrove, 2075)"
195,2,"ryan fey (kitchener street, slacks creek, 3450) | ryan fey (kitchener street, slacks creek, 3400)"
196,1,"georgia byersi (hilder street, palmerston, 4740)"
197,4,"anika spicer (melrose drive, view bank, 2067) | anika spicer (melr ose drive, view bank, 2067) | spicer anika (melrosel drive, view bank, 2076) | anika spicer (melrose drive, view avnk, 2067)"
198,1,"liam kothe (beaurepaire crescent, allawah, 4570)"
199,1,"jaco b nan (downward place, bunbury, 4671)"
200,1,"pia campbell (euree street, corowa, 3199)"
201,2,"lucinda mcneill (ashburton circuit, vaucluse, 3223) | lucinda mcneil (ashburton circuit, vaucluse, 3223)"
202,3,"olivia wheatley (crisp circuit, lake clarendon, 4575) | olivia wheatley (crisp ciecuit, lake clarendon, 4575) | olivia winfield (crisp circuit, lake clarendon, 4575)"
203,2,"thomas finlay (vicke ry street, page, 2160) | thomas finlay (vickery street, page, 2160)"
204,1,"erin humphreys (endeavour street, elanora heights, 4874)"
205,1,"dominic nan (oxley street, northgate, 3000)"
206,3,"isabella gilbertson (boswell c rescent, morwell, 4704) | isabella gilbertson (boswell crescent, morwell, 4074) | isabella gilbertson (boswell crescent, morwell, 4074)"
207,3,"holly shepherd (castlereaghcrescent, eaton, 6060) | holly shepherd (castlereagh crescent, eaton, 6060) | holly shepherd (castlereahg crescent, eaton, 6060)"
208,1,"lachlan goldsworthy (ashkanasy crescent, rowville, 3158)"
209,3,"andrea brokenshire (sturdee crescent, birmingham gardens, 2455) | andrea brokenshire (sturdee crescent, birmingham gardens, 2455) | andrea brokenshire (sturdee crescent, birmingha gardens, 2455)"
210,1,"jed hearn (gairdner circuit, alice springs, 3056)"
211,3,"jordhau ryan (carnegie crescent, millrbook, 6004) | jordan ryan (carnegie crescent, millbrook, 6004) | jordan ryan (carnegiecrescent, millbrook, 6004)"
212,2,"joshua morrison (beasley street, tingalpa, 5097) | joshua morriosn (beasley street, tingalpa, 5097)"
213,2,"flynn crea (nan, lismore, 2068) | flynn crea (nan, lismore, 2068)"
214,4,"jacob marampon (lowanna street, keysborough, 3806) | jacob marampon (lowanna street, keysborough, 3806) | nan marampon (lowanna treet, keysborough, 3806) | jacob marampon (lowanna street, keysborough, 3806)"
215,1,"olivia philps (ennor crescent, king river, 2540)"
216,1,"madison fenwick (terry close, glenside, 4551)"
217,4,"juliana petersen (currong street, glenside, 5280) | juliana petersen (currong syreet, glenside, 4068) | juliana petersen (currong sotreet, glenside, 5280) | juliana petersen (currong street, glesnide, 5280)"
218,1,"loan green (marlock street, an ula, 6233)"
219,2,"ebpony nan (david street, long jetty, 6630) | joshua nan (david street, long jetty, 6630)"
220,1,"bianca marlow (dietricho place, alice springs, 5065)"
221,4,"kayne priest (temperley street, north nrarabeen, 3995) | caleb priest (temperley street, north narrabeen, 3895) | archie priest (temperley street, northnarrabeen, 3995) | archie priest (temperley street, north narrabeen, 3995)"
222,2,"madison boxhall (yanda street, dapto, 4703) | madison boxha ll (yanda street, dapto, 4703)"
223,1,"erin birchby (burrowes place, creswick, 4721)"
224,4,"jasmine sach (goble s treet, gawler west, 2031) | sach jasmwine (goble street, gawler west, 2301) | jasmine sah (goble street, gawler west, 2031) | jasmine sach (goble street, gawler west, 2031)"
225,3,"jack brock (duhig place, boyanup, 2484) | jack brock (duhig place, boyanup, 2485) | jack brock (duhig place, boyaunp, 2484)"
226,1,"hugo walkington (oxley street, oak park, 6026)"
227,1,"nan whiteley (mcluckie crescent, malvern east, 4810)"
228,1,"cameron unyland (chewings street, broken hill, 6109)"
229,1,"danielle millar (stanfield close, blackburn north, 3102)"
230,1,"charlotte carbone (peppin place, albury, 4559)"
231,6,"matthew seddon (collingriddge street, paralowie, 3830) | matthew seddon (collingridge street, parakowie, 3803) | matthew seddon (collingridge street, paralowie, 3803) | seddon matthew (collingridge street, paralowie, 3803) | matthew seddon (collingridhe street, paralowie, 3803) | matthew seddon (collingridge street, paralohie, 3803)"
